category,name,price,quantity
Food,"Tuscan Bean Soup",2.49,17
Audio,"Wireless Earbuds",69.99,65
Food,"Ground Cinnamon",1.99,97
Pets,"Pet Water Fountain with Filtration",39.99,94
Clothing,"Trainers with Mesh Inserts",69.99,97
Food,"Samoas Cookie Mix",5.59,70
Food,"Organic Coconut Flakes",3.49,67
Food,"Kale Salad with Lemon Dressing",4.99,34
Food,"Organic Green Tea",4.29,3
Travel,"Travel Size Toiletry Bottles",9.99,70
Health,"Essential Oil Diffuser",34.99,64
Food,"Pepperoni Pizza Roll-Ups",5.99,73
Food,"Cream Cheese",2.69,51
Food,"Raspberry Lemonade Mix",3.99,59
"Home Improvement","Pressure Washer Accessories Kit",39.99,85
Kitchen,"Personal Blender with Travel Lid",34.99,84
Food,"Aged White Cheddar Popcorn",2.99,67
Food,"Caramel Apple Taffy",1.99,60
Food,"Banana Nut Muffins",4.49,36
Food,"Mixed Nuts",5.99,30
Kitchen,Spiralizer,22.99,70
Food,"Butternut Squash Soup",3.49,22
Home,"LED Under Cabinet Lighting",29.99,51
Food,"Sesame Oil",3.99,88
Food,"Peach Preserves",3.79,18
Food,"Sriracha Hot Chili Sauce",2.99,38
Clothing,"Party Mini Dress",69.99,13
Electronics,"Adjustable Stand for Tablets and Smartphones",19.99,16
Pets,"Pet Food Storage Container",24.99,34
Kitchen,"Electric Can Opener",29.99,10
Food,"Himalayan Pink Salt",1.99,90
Clothing,"Faux Leather Leggings",49.99,87
Food,"Maple Pecan Granola",4.49,98
Food,"Peanut Butter Chocolate Clusters",2.99,41
Food,"Oven-Baked Sweet Potato Fries",3.99,12
Kitchen,"Tea Infuser",12.99,15
Beauty,"Travel Hair Straightener",29.99,1
Kitchen,"Coffee Maker",89.99,32
Kitchen,"Aeropress Coffee Maker",29.99,51
Food,"Savory Oatmeal Cups",1.99,14
Travel,"Travel Eye Mask with Ear Plugs",15.99,80
Food,"Organic Cucumber",1.29,40
"Art Supplies","Crafting Kit",29.99,66
Pets,"Pet Grooming Brush",19.99,62
Food,"Smashed Avocado with Lime",2.49,32
Accessories,"Children's Backpack",29.99,4
Audio,"Noise-Canceling Headphones",119.99,64
"Home Improvement","Non-Toxic Concrete Sealer",39.99,51
Books,"Field Journal",14.99,30
Food,"Cranberry Pecan Granola",3.99,29
Clothing,"Warm Knit Beanie",19.99,96
Food,"Sweet Cherry Tomatoes",2.99,47
Food,"Sliced Bell Peppers",3.99,8
Food,"Coconut Curry Lentil Soup",3.99,87
Pets,"Pet Grooming Gloves",9.99,54
Health,"Cordless Water Flosser",49.99,15
Office,"Magnetic Whiteboard",34.99,22
Food,"Raisin Cinnamon Granola",3.79,48
Automotive,"Car Sunshade",19.99,56
Food,"Smashed Avocado with Lime",2.49,32
Outdoor,"Portable Hammock",27.99,81
Toys,"Toy Building Set",29.99,62
Clothing,"Leather Crossbody Bag",89.99,9
Crafts,"DIY Lip Balm Kit",22.99,79
Home,"Wire Shelving Unit",69.99,43
Food,"Organic Coconut Water",2.79,17
Food,"Salsa Verde",3.49,24
Fitness,"High-Quality Yoga Mat",34.99,33
Food,"Carrot Sticks",2.49,56
Food,"Nutty Granola Clusters",2.49,86
Food,"Flavored Rice Cakes",2.49,10
Outdoor,"Portable Camping Shower",39.99,18
Safety,"Noise Cancelling Ear Muffs",24.99,63
Pets,"Personalized Pet ID Tags",9.99,82
Food,"Vanilla Pudding Mix",1.29,51
Fitness,"Weighted Jump Rope with Counter",14.99,67
Outdoor,"Bicycle Repair Kit",14.99,75
Food,"Chocolate Fudge Ice Cream",5.99,54
Food,"Beef Sirloin Steak",15.99,61
Kitchen,"Chopping Board",29.99,48
Food,"Sliced Strawberries",4.99,4
Food,"Sweet Potato Tots",4.29,83
Food,"Mediterranean Chickpea Bowl",6.49,48
Home,"Decorative Wall Tapestry",34.99,37
Food,"Black Bean Spaghetti",3.99,49
Electronics,"Smartphone Photography Tripod",29.99,45
Food,"Thai Basil Fried Rice",5.99,82
Food,"Jalapeño Cornbread",3.29,92
Clothing,"Cotton Pajama Set",49.99,28
Food,"Beef Enchilada Casserole",8.99,40
Food,"Honey Butter Popcorn",2.99,81
Food,"Pepper Jack Cheese Slices",3.49,35
Food,"Pineapple Chunks (canned)",2.29,53
Kitchen,"Pizza Stone",29.99,61
Toys,"Creative Puzzle Game",19.99,69
Garden,"Watering Can with Nozzle",19.99,8
Pets,"Pet Waterer with Filtration",39.99,17
Outdoor,"Folding Backpack Chair",49.99,77
Food,"Cinnamon Roll Kit",6.89,85
Outdoor,"Outdoor Inflatable Pool",149.99,84
Pets,"Pet Hair Vacuum Cleaner Attachment",14.99,85
Food,"Red Lentil Pasta",3.99,42
Food,"Zesty Garlic Marinade",4.49,11
Food,Thyme,2.49,56
Crafts,"DIY Candle Making Kit",22.99,94
Electronics,"Smartphone Projector",29.99,24
Fitness,"Sports Bottle",15.99,10
Garden,"Children's Garden Tool Set",22.99,25
Food,Mushrooms,2.99,24
Food,"Spiced Pumpkin Soup",3.99,48
Food,"Pumpkin Spice Cookies",3.29,34
Fitness,"Water Bottle with Built-in Fruit Infuser",18.99,28
Outdoor,"Outdoor String Lights",24.99,61
Food,"Organic Honeycrisp Apples",1.99,78
Outdoor,"Portable Air Pump",19.99,6
Food,"Maple Pecan Oatmeal Cookies",3.99,52
Food,"Mushroom Soup (canned)",2.49,22
Food,"Granola Clusters",4.99,30
Food,"Cheesy Cauliflower Bake",5.49,95
Clothing,"Knitted Infinity Scarf",29.99,47
Clothing,"Breezy Off-The-Shoulder Top",34.99,23
Garden,"Indoor Plants",19.99,39
Pets,"Cat Tree",99.99,58
Clothing,"Classic White T-Shirt",19.99,33
Food,"Italian Marinara Sauce",3.29,70
Tools,"Repair Tool Set for Home Improvement",29.99,34
Food,"Lemon Lime Sparkling Water",1.99,17
Health,"Breathable Face Mask Set",14.99,30
Clothing,"High-Low Hem Tee",22.99,6
Travel,"Compressible Packing Cubes",29.99,95
Food,"Chickpea Flour",3.29,12
Audio,"Portable Bluetooth Speaker",49.99,92
Food,"Dried Apricots",3.79,43
Electronics,"Wireless HDMI Transmitter",79.99,82
Food,"Honey Sriracha Chicken Bites",7.99,67
Pets,"Pet Hair Removal Roller",10.99,83
Food,"Fresh Basil",1.99,18
Pets,"Pet Activity Tracker",59.99,35
Travel,"Travel Pillow",22.99,100
Electronics,"Solar Charger",39.99,43
Kitchen,"Induction Cooktop",89.99,29
Food,"Pineapple Salsa",4.29,96
Accessories,"Laptop Sleeve",24.99,55
Office,"Mechanical Pencil Set",19.99,44
Food,"Peanut Butter Banana Smoothie",3.99,73
Clothing,"Classic Baseball Cap",24.99,37
Food,"Caramelized Onion Dip",3.99,53
Food,"Chicken Parmesan Dinner Kit",14.99,6
Food,"Balsamic Vinaigrette",2.69,10
Office,"LED Desk Lamp with USB Charging",39.99,94
Audio,"Bluetooth Headphones",79.99,6
Travel,"Travel Orthopedic Pillow",24.99,80
Food,"Sesame Oil",3.99,26
Food,"Teriyaki Chicken Wings",10.99,42
Food,"Peach Slices (canned)",2.49,37
Outdoor,"Insulated Cooler",39.99,52
Office,"Under Desk Footrest",29.99,51
Fitness,"Sports Water Bottle with Infuser",19.99,41
Kitchen,Spiralizer,22.99,23
Health,"Portable Massage Table",199.99,56
Home,"Digital Thermostat",59.99,94
Food,"Sweet BBQ Dipping Sauce",3.49,18
Food,"Garlic and Herb Cream Cheese",3.49,14
Pets,"Pet Training Pads",24.99,27
Food,"Sesame Garlic Noodles",3.49,47
Food,"Spaghetti Sauce",2.99,94
Electronics,"Adjustable Stand for Tablets and Smartphones",19.99,39
Automotive,"Car Diagnostic Scanner",49.99,56
Food,"Spicy Tuna Rolls",6.49,36
Clothing,"Stylish Combat Boots",99.99,98
Pets,"Self-Cleaning Cat Litter Box",199.99,51
Food,"Italian Marinara Sauce",3.29,78
Food,"Steak Seasoning Rub",2.49,92
Food,"Coconut Chia Pudding",3.49,65
Outdoor,"Tailgating Set",89.99,34
Food,"Roasted Garlic Mashed Potatoes",3.99,77
Food,"Shredded Cheese",4.29,36
Food,"Peanut Butter Chocolate Clusters",2.99,47
Clothing,"Slingback Sandals",29.99,80
Food,"Rice Pudding",2.29,31
Food,"Leek and Potato Soup",3.29,25
Toys,"Foam Building Blocks for Kids",22.99,17
Accessories,"Smartphone Hand Grip",9.99,25
Clothing,"Casual Sneakers",39.99,44
Tools,"Rechargeable Electric Screwdriver",39.99,67
Home,"Adjustable Window Blind",49.99,89
Food,"Cranberry Juice",3.69,45
Food,"Almond Flour Bread Mix",4.89,79
Food,"Granola Cereal",4.49,80
Food,"Teriyaki Chicken Skewers",8.99,16
Food,"Vegan Chocolate Cake Mix",4.29,87
Food,"Cinnamon Sugar Mix",1.49,81
Outdoor,"Outdoor Picnic Blanket",34.99,42
Home,"Wall Calendar",17.99,33
Kitchen,"Tea Infuser Bottle",19.99,60
Home,"Mesh Laundry Bags Set",12.99,81
Food,"Chili Beans in Sauce",1.79,53
Food,"Banana Chips",1.99,57
Food,"Organic Coconut Yogurt",4.49,7
"Smart Home","Smart Doorbell",119.99,25
Food,"Fire Roasted Salsa",2.49,21
Food,"Roasted Red Pepper Dip",3.29,44
Food,"Asian Stir-Fry Kit",5.49,93
Home,"Eco-Friendly Cleaning Cloths",12.99,83
Photography,"Smartphone Gimbal Stabilizer",89.99,86
Outdoor,"Tactical Backpack",59.99,15
Baby,"Multifunctional Baby Bottle Warmer",39.99,66
Clothing,"Mesh Sports Leggings",39.99,50
Pets,"Pet Hair Removal Roller",10.99,52
Food,"Pumpkin Spice Coffee",7.99,92
Accessories,"Magnetic Phone Case",19.99,13
Food,"Pasta Sauce Mix",1.29,20
Toys,"Puzzle Mat",22.99,52
"Smart Home","Smart Wi-Fi Light Bulbs",19.99,3
Health,"Electric Toothbrush",49.95,51
Automotive,"Smartphone Car Mount with Wireless Charging",39.99,33
Food,"Chipotle Lime Salsa",3.99,50
Kitchen,"Whisk Set",12.99,88
Kitchen,"Vacuum Sealer Machine",89.99,1
Food,"Cheddar & Bacon Potato Skins",7.49,29
Kitchen,"Personal Blender with Travel Cup",39.99,20
Office,"LED Desk Lamp with USB Charging Port",29.99,75
Food,"Cinnamon Roll Protein Bar",2.99,72
Outdoor,"Folding Backpack Chair",49.99,35
Pets,"Pet Safety Belt for Car",14.99,20
Electronics,"Multi-Port USB Hub",19.99,69
Food,"Peanut Butter",3.79,68
Safety,"Reflective Safety Vest",19.99,30
Outdoor,"Outdoor Adventure Kit",89.99,18
"Wearable Tech",Smartwatch,199.99,3
Outdoor,"Outdoor Folding Table",39.99,33
Fitness,"Yoga Mat",25,60
Food,"Pepperoni Pizza Rolls",6.99,89
Food,"Spicy Tuna Salad",4.49,74
Home,"Decorative Wall Tapestry",34.99,11
"Home Appliances","Portable Air Conditioner",299.99,32
Travel,"Travel Pillow",22.99,29
Kitchen,"Air Fryer",79.99,97
Food,"Rustic Italian Breads",3.99,32
Outdoor,"Hydration Backpack",39.99,17
Food,"Peanut Butter Chocolate Clusters",2.99,15
Outdoor,"Compact Folding Table",49.99,97
Pets,"Pet Nail Clipper",12.99,44
Food,"Organic Black Beans",1.29,33
Food,"Low-Fat Cottage Cheese",2.99,37
Health,"Smartphone UV Sanitizer",39.99,36
Food,"Sliced Provolone Cheese",3.99,89
Food,"Coconut Granola",4.19,12
Home,"Comfortable Bed Pillow",24.99,96
Food,"Smoked Gouda Cheese",5.49,46
Food,"Caramelized Onion Dip Mix",2.29,24
Food,"Cinnamon Sugar Tortilla Chips",3.29,69
"Home Appliances","Compact Refrigerator",199.99,54
Home,"Woven Storage Baskets",24.99,1
Home,"Canvas Wall Art",39.99,76
Outdoor,"Camping Chair with Cooler",49.99,38
Food,"Organic Black Rice",3.59,71
Food,"Vegetarian Pizza",5.49,16
Beauty,"Travel Hair Straightener",29.99,20
Accessories,"Magnet Travel Fridge Magnets",12.99,21
Food,"Natural Peanut Butter",4.29,54
Sports,"Training Soccer Ball",19.99,45
Accessories,"Laptop Stand",29.99,35
Outdoor,"Inflatable Pool Float",29.99,2
Pets,"Portable Pet Water Bottle",18.99,54
Food,"Jalapeño Cornbread",3.29,25
Home,"Electric Stool Heater",29.99,50
Food,"Indian Curry Sauce",3.69,23
Food,"Herbal Tea Variety Pack",4.99,37
Outdoor,"Backpacking Tent",109.99,85
Food,"Frozen Burritos",8.99,19
Pets,"Pet Leash",15.99,94
Food,"Organic Baby Carrots",2.99,3
Kitchen,"Multi-Functional Rice Cooker",49.99,77
Outdoor,"Hiking Gaiters",29.99,53
Outdoor,"Magnetic Screen Door",24.99,33
Food,"Sour Cream",3.49,65
Food,"Quinoa Salad",5.99,18
Outdoor,"Portable Water Filter",29.99,60
Clothing,"Satin Slip Dress",59.99,84
Home,"Wall-Mounted Organizer",34.99,46
Food,"Honey Roasted Almonds",4.99,6
Kitchen,"Air Fryer Oven",149.99,36
Food,"Spicy Thai Chili Sauce",3.29,60
Food,"Maple Almond Granola",5.49,23
Food,"Asian Noodle Salad Kit",4.99,85
Food,"Cranberry Pecan Granola",3.99,31
Food,"Kombucha Drink",3.49,65
Outdoor,"Bird Feeder",24.99,47
Outdoor,"Camping Tent",79.99,92
Photography,"Smartphone Tripod",29.99,50
Food,"Maple Almond Yogurt",1.89,27
Accessories,"Fashionable Belt Bag",34.99,7
Outdoor,"Outdoor Mosquito Repellent Lantern",34.99,93
Food,"Rice Noodles",3.49,27
Food,"Natural Peanut Butter",4.29,72
Food,"Baking Powder",1.79,71
Food,"Chili Beans in Sauce",1.79,97
Clothing,"Plaid Flannel Shirt",29.99,27
Home,"Fall-Themed Table Runner",19.99,94
Health,"Home Delivery Food Journal",14.99,78
Food,"Buttermilk Pancakes",3.99,74
Kitchen,"Cold Brew Coffee Maker",34.99,36
Garden,"Children's Garden Tool Set",22.99,57
Kitchen,"Non-Stick Baking Sheet",18.99,90
Pets,"LED Flashing Pet Collar",14.99,45
Clothing,"Stylish Combat Boots",99.99,38
Food,"Pineapple Teriyaki Chicken Mix",6.99,29
Office,"Multi-Purpose Scissors",8.99,72
Food,"Cheddar Cheese Slices",3.49,12
Travel,"Lightweight Travel Backpack",39.99,54
Food,"Green Tea Matcha Powder",15.99,65
Accessories,"Smartphone Hand Grip",9.99,59
Outdoor,"Portable Hammock",27.99,40
Food,"Chocolate Avocado Pudding",4.99,23
Food,"Organic Vanilla Bean Ice Cream",5.99,97
Baby,"Multifunctional Baby Bottle Warmer",39.99,97
Health,"Home Delivery Food Journal",14.99,59
Food,"Canned Coconut Milk",1.89,14
Health,"Foot Spa Bath Massager",59.99,14
Kitchen,"Dual Function Electric Skillet",59.99,79
Food,"Carrot Ginger Soup",4.29,70
Toys,"Puzzle Mat",22.99,27
Toys,"Kids' Art Easel",58.99,46
Food,"Habanero Hot Sauce",3.79,61
Food,"Baking Soda",0.99,93
Fitness,"Fitness Tracker Band",29.99,60
Food,"Italian Meatballs",8.49,12
"Smart Home","Smart Home Security Camera",79.99,30
Food,"Honey Mustard Dip",3.29,24
Food,"Vegan Chocolate Cake Mix",4.29,7
Food,"Smoked Paprika Chicken Thighs",6.99,11
Food,"Lentil Soup (canned)",1.99,27
Kitchen,"Oven Mitts",15.99,95
Home,"Faux Fur Throw Blanket",39.99,17
Pets,"LED Flashing Pet Collar",14.99,61
Kitchen,"Non-Stick Baking Sheets",29.99,23
Food,"Spinach and Feta Wraps",4.99,72
Clothing,"Satin Slip Dress",59.99,17
Kitchen,"Cereal Dispenser with Portion Control",24.99,7
Outdoor,"Backpacking Tent",109.99,8
Books,"Kids' Activity Book",14.99,6
Food,"Granulated Sugar",2.49,23
Food,Avocados,1.5,64
Food,"Organic Coconut Water",2.79,92
Kitchen,"Electric Food Slicer",99.99,6
Fitness,"Adjustable Dumbbells",249.99,48
Kitchen,"Collapsible Colander",14.99,84
Food,"Buffalo Sauce",2.99,99
Outdoor,"Bicycle Repair Kit",14.99,39
Fitness,"Digital Stopwatch Timer",12.99,3
Home,"Bamboo Memory Foam Pillow",34.99,47
Bathroom,"Thermostatic Shower Valve Kit",39.99,46
Clothing,"Sporty Leggings",39.99,26
Food,"Cinnamon Roll Kit",6.89,78
Food,"Himalayan Pink Salt",1.99,95
Food,"Cinnamon Sugar Popcorn",2.89,45
Clothing,"Golf Polo Shirt",39.99,64
Food,"Maple Breakfast Sausage",5.99,4
Food,"Cranberry Almond Granola",4.29,25
Food,"Coconut Chia Seed Pudding",2.99,9
Garden,"Adjustable Garden Rake",22.99,46
Clothing,"High-Top Leather Boots",99.99,93
Pets,"Pet First Aid Kit",29.99,35
Food,"Sweet Potato Tots",4.29,21
Home,"Bamboo Charcoal Air Purifier Bags",12.99,51
Food,"Honey Glazed Carrots",3.49,19
Food,"Teriyaki Chicken Bowl",6.49,22
Bicycles,"Electric Bike",899.99,37
Clothing,"Terry Cloth Robe",59.99,8
Toys,"Magnetic Chess Set",19.99,79
Food,"Whole Chicken",12.99,56
Travel,"Travel Eye Mask with Ear Plugs",15.99,50
Food,"Oven-Baked Chicken Tenders",6.99,7
Food,"Sweetened Condensed Milk",1.89,31
"Smart Home","Smart Home Security Camera",79.99,24
Food,"Caramel Apple Taffy",1.99,25
Kitchen,"Electric Kettle",39.99,6
Toys,"Kids' Building Blocks",19.99,43
"Art Supplies","Paint By Numbers Kit",24.99,25
Clothing,"A-Line Skirt",35.99,69
Toys,"Children's Musical Instrument Set",39.99,80
Clothing,"Leather Biker Jacket",129.99,2
Food,"French Bread",2.49,12
Food,"Harvest Grain Salad",5.49,32
Kitchen,"Non-Stick Baking Sheets",29.99,76
Audio,"Noise Reduction Headphones",39.99,7
Food,Salsa,3.49,33
Travel,"Travel Size Toiletry Bottles",9.99,32
Home,"Wall-Mounted Organizer",34.99,6
Automotive,"Car Sunshade",19.99,62
Food,"Grilled Vegetable Medley",4.49,29
Food,"Roasted Red Pepper Sauce",3.29,47
Fitness,"Tennis Racket",89.99,65
Food,"Maple Syrup",6.99,70
Food,"Walnut Halves",8.49,26
Kitchen,"Electric Wine Opener",29.99,2
Food,"Vegetable Potstickers",5.99,83
Garden,"Gardening Kneeler and Seat",39.99,1
Food,"Organic Whole Grain Oats",2.49,25
Kitchen,"Electric Hot Pot",49.99,92
Food,"Pine Nuts",7.99,99
Food,"Mediterranean Chickpea Bowl",6.49,28
Fitness,"High-Quality Yoga Block",12.99,61
Photography,"Instant Camera",89.99,57
Food,"Dried Mango Slices",3.49,83
Food,"Vegan Mayonnaise",4.49,80
Kitchen,"Instant Read Meat Thermometer",24.99,90
Outdoor,"Overnight Hiking Backpack",79.99,39
Office,"Magnetic Whiteboard",34.99,81
Food,"Maple Pecan Pancake Mix",4.99,98
Food,"Organic Almonds",8.99,13
Food,"Honey Nut Cheerios",4.29,63
Pets,"Pet First Aid Kit",29.99,21
Food,"Crispy Rice Treats",3.5,5
Food,"Crispy Onion Rings",4.29,42
Kitchen,"Bamboo Cutting Board",22,38
Clothing,"Classic White T-Shirt",19.99,78
Food,"Caramel Apple Chips",3.49,5
Food,"Frozen Salmon Filets",12.99,91
Food,"Herbed Couscous",2.49,73
Home,"Adjustable Window Blind",49.99,74
Clothing,"Ribbed Knit Dress",59.99,54
Food,"Miso Soup Mix",3.29,91
Food,"Maple Syrup",6.99,85
Food,"Roasted Sweet Corn",1.99,29
Food,"Maple Bacon Potato Chips",2.89,96
Food,"Frozen Berry Medley",5.49,24
Food,"Maple Oatmeal",2.99,78
Computers,"Mechanical Keyboard",99.99,9
Food,"Garlic Parmesan Roasted Potatoes",3.99,47
Storage,"Portable SSD",129.99,27
Food,"Organic Cereal Bars",4.29,72
Kitchen,"Eco-Friendly Disposable Plates",22.99,98
Clothing,"Comfort Flats",44.99,1
Food,"Mini Meatballs",5.99,73
Food,"Tomato Basil Soup",3.49,64
Food,"Laundry Detergent",12.99,52
Kitchen,"Electric Fondue Pot",39.99,16
Food,"Brussels Sprouts",3.49,16
Audio,"Noise-Canceling Earbuds",79.99,18
Audio,"Bluetooth Shower Speaker",24.99,97
Food,"Chocolate Syrup",2.99,29
Food,"Fresh Lemons",0.75,87
Food,"Eggs (dozen)",2.99,63
Home,"Handcrafted Wooden Coasters",19.99,98
Food,"Traditional Hummus",3.29,13
Food,"Buffalo Wing Sauce",3.99,40
Food,"Carrot and Celery Sticks",2.99,62
Tools,"Cordless Electric Screwdriver",39.99,44
Food,"Marinara Sauce",3.49,77
Fitness,"Weighted Jump Rope with Counter",14.99,63
Food,"Elderberry Syrup",11.99,23
Food,"Low-Fat Cottage Cheese",2.99,75
Food,"Cranberry Almond Biscotti",4.19,53
Food,"Berry Smoothie Mix",4.99,13
Food,"Blueberry Chia Jam",4.99,49
Food,"Pumpkin Spice Granola",4.99,83
Kitchen,"Pasta Maker",39,6
Food,"Organic Tomato Soup",3.79,8
Food,"Garlic Parmesan Wings",8.99,8
Food,"Cranberry Juice",3.69,27
Kitchen,"Electric Griddle with Lid",49.99,50
Home,"Decorative Wall Tapestry",34.99,34
Food,"Ready-to-Eat Chili",2.99,35
Food,"Zucchini Noodles",3.99,67
Fitness,"Fitness Jump Box",69.99,92
Accessories,"Ultra-Thin Laptop Sleeve",19.99,7
Crafts,"DIY Lip Balm Making Kit",22.99,46
Home,"LED Desk Lamp",35,39
Clothing,"Cable Knit Beanie",19.99,40
Pets,"Indestructible Dog Toy",15.99,54
Outdoor,"Compact Portable Grill",79.99,97
Food,Mayonnaise,3.29,32
Food,"Raspberry Limeade",1.99,56
Food,"Vanilla Protein Powder",24.99,28
Home,"Wireless Security Camera",109.99,93
Food,"Vegetable Korma",6.49,80
Fitness,"Jump Rope with Counter",12.99,16
Outdoor,"Inflatable Paddle Board",349.99,100
Food,"Cheesy Broccoli Soup Mix",2.99,96
Accessories,"Compact Umbrella",12.99,61
Food,"Spinach and Feta Stuffed Chicken Breast",8.99,63
Health,"Portable Massage Gun",79.99,95
Food,"Blueberry Oatmeal Cups",3.29,17
Food,"Chocolate Coconut Protein Balls",2.99,99
Food,"Taro Chips",3.59,23
Food,"Honey Nut Cheerios",4.29,15
Home,"Heated Throw Blanket",49.99,31
Fitness,"Sports Water Bottle with Infuser",19.99,55
Food,"Cranberry Almond Granola",4.29,27
Food,"Artisan Cornbread Mix",2.49,18
Food,"Asian Salad Mix",3.99,92
Food,"Chickpea Salad Deluxe",4.29,25
Toys,"Magnetic Chess Set",19.99,97
Food,"Balsamic Glazed Brussels Sprouts",4.99,22
Fitness,"Water Bottle with Built-in Fruit Infuser",18.99,56
Photography,"Smartphone Photography Ring Light",29.99,4
